Date Time,Temp,WindSpeed,WindDirec,Rain,Pressure,Luminosity,Humidity
2019-12-08 08:07:00,29.9,29,134,1.7,80784,1.9,67
2019-12-01 23:52:00,19.9,56,149,9.2,95805,2.6,78
2019-12-13 15:32:00,20.8,34,91,16.8,92816,1.4,89
2019-12-11 23:07:00,22.6,65,19,17.3,82369,4.7,90
2019-12-07 22:33:00,26.6,67,147,17.1,80287,1.2,99
2019-12-12 07:22:00,29,0,73,8.2,90932,1,79
2019-12-13 15:31:00,23.4,41,177,17.2,92756,1.2,92
2019-11-29 09:38:00,29,55,187,2.7,94458,4.4,79
2019-12-03 02:29:00,20.2,39,71,2.8,116726,0.4,74
2019-12-12 06:43:00,20.4,22,321,13.7,90769,0.9,89
2019-12-06 14:28:00,20.6,29,340,15.8,80910,1,89
2019-12-07 16:54:00,29.3,6,202,6.6,86435,3.9,85
2019-11-29 18:01:00,20.9,44,69,11.5,95825,1.1,81
2019-12-06 02:05:00,22.3,12,250,11,80806,1.6,91
2019-12-10 07:08:00,28,29,82,8.6,90665,1.1,91
2019-12-08 11:13:00,26.9,22,165,11.8,82611,1.2,85
2019-12-11 07:43:00,28.3,34,327,0.4,86585,1.4,68
2019-12-05 06:21:00,28.5,63,291,1,90302,1.7,71
2019-12-04 03:32:00,21,44,229,6.3,105941,0.3,77
2019-12-04 07:27:00,29.8,20,261,5,99728,4.3,70
2019-12-12 03:54:00,18.3,64,168,3.5,84269,2.1,77
2019-11-30 12:38:00,29.8,48,4,5.2,95474,2.2,85
2019-12-10 06:00:00,22.1,56,211,17.5,91080,1.3,95
2019-12-01 06:33:00,20.8,21,123,11.1,86243,1,83
2019-12-03 10:31:00,22.7,57,278,17.2,111727,1,96
2019-12-13 14:45:00,21.7,63,39,17.8,93296,0.7,99
2019-12-05 17:30:00,28.9,50,189,4,84746,2.9,75
2019-12-07 12:20:00,28,51,117,3.6,81733,1.6,79
2019-12-09 03:09:00,28.9,28,177,12.5,82094,0.1,90
2019-12-01 00:16:00,23.2,1,270,10.4,86769,3,80
2019-12-05 14:15:00,22.2,69,9,17.3,84075,0.9,93
2019-12-09 18:03:00,29.1,12,100,2.9,86424,4.6,69
2019-12-06 09:53:00,29.1,55,66,1.5,81857,2.4,68
2019-12-13 06:03:00,28.1,27,358,4.9,90464,3.4,79
2019-12-08 00:13:00,26.1,65,15,1.5,80292,4.4,52
2019-12-05 13:57:00,20.5,24,237,15.5,84993,1.3,84
2019-12-07 12:39:00,29.7,51,261,6.9,81395,2.3,72
2019-11-30 22:59:00,24.4,51,317,18.9,85003,1.1,89
2019-12-08 12:53:00,20.8,34,259,19.6,80519,1.4,85
2019-12-02 02:08:00,26.2,39,197,13.5,94557,1.7,92
2019-12-13 04:28:00,28.5,8,183,17.7,91394,0,93
2019-12-01 11:07:00,22.2,58,327,13.2,92749,1.3,86
2019-12-06 22:48:00,18.4,9,279,10.2,88500,4.4,88
2019-12-04 22:36:00,20.6,43,115,4.7,91899,1.6,70
2019-12-11 18:08:00,29.6,63,21,5.9,86369,3,93
2019-12-12 06:58:00,23.5,39,74,19.6,89981,1,92
2019-12-04 03:55:00,21.8,69,71,5.3,104301,1.8,80
2019-11-30 11:54:00,29.3,9,248,13.9,94206,0.9,94
2019-12-05 05:04:00,22.6,52,163,7.1,94472,1.1,75
2019-12-01 22:49:00,28.7,1,34,15.5,93469,2.6,81
2019-12-11 13:45:00,29,16,131,17.2,80454,0.9,81
2019-12-03 20:03:00,23.6,51,105,7.5,107952,2.4,78
2019-12-03 08:09:00,28.2,8,122,0.1,112303,4.8,78
2019-12-13 05:44:00,20.8,16,316,10.7,90429,3.7,80
2019-11-29 08:12:00,28.9,5,220,6.1,90767,1.3,75
2019-12-08 11:43:00,30,49,102,6.8,83767,3.8,77
2019-12-08 17:25:00,22.5,21,284,17.4,84164,0.9,82
2019-12-08 05:23:00,24.8,16,39,0,81428,2,75
2019-12-09 07:15:00,29.8,48,177,4.2,82359,1.3,77
2019-12-10 02:36:00,19.8,14,151,8.8,86826,4,76
2019-11-30 11:21:00,29.8,18,181,1.3,92082,1.1,69
2019-12-08 18:49:00,29.8,28,218,8.2,85486,0.7,83
2019-12-12 16:33:00,28.3,23,294,6.4,90800,3.2,79
2019-12-07 18:29:00,29,48,213,0.8,82738,1.9,70
2019-12-07 03:16:00,28.4,36,140,8.2,82193,4,88
2019-11-30 06:15:00,28,40,320,3.2,93954,4.9,70
2019-12-07 00:09:00,20.3,38,192,10.1,83729,1.7,90
2019-12-03 20:41:00,27.3,40,68,1.8,105615,1.9,64
2019-12-12 00:27:00,22.9,38,20,17.7,83735,1.9,97
2019-12-03 23:46:00,28.5,16,131,14.4,103700,4,91
2019-12-12 04:09:00,19.7,52,111,4.5,84885,1.1,79
2019-12-05 05:25:00,22,67,238,15.8,93336,2.3,85
2019-12-02 16:21:00,28.5,13,232,16.8,109036,1.4,89
2019-12-04 08:27:00,28.5,55,61,5.1,98960,1.4,73
2019-12-04 03:03:00,20.9,15,327,0.2,107706,1.9,76
2019-12-08 15:34:00,28.9,54,357,4.8,80511,4.9,77
2019-12-11 03:41:00,22.3,35,253,13.4,85307,3.8,83
2019-12-04 09:32:00,29.8,9,136,0.1,95993,4.3,71
2019-12-06 17:40:00,27.6,21,15,15.8,87812,0.7,82
2019-12-05 10:35:00,28.1,30,41,4.9,82496,3.5,67
2019-12-04 19:43:00,26.4,34,258,12.7,91518,1.8,85
2019-12-02 12:55:00,29.1,51,182,5,104115,3.5,64
2019-11-29 08:11:00,28.5,4,280,3.7,90905,2.5,77
2019-12-12 11:43:00,29.4,2,34,10.5,93668,1,82
2019-12-04 06:18:00,29.9,32,189,2.9,99635,2.6,78
2019-12-11 19:00:00,28.6,30,92,1.4,85967,3.5,77
2019-12-12 13:44:00,28.9,18,307,9.1,90670,0.9,80
2019-12-13 04:17:00,29.7,30,162,14.5,90415,0.9,89
2019-12-08 10:47:00,29.7,9,219,8.2,84373,1.2,82
2019-12-07 16:02:00,29.3,0,290,14.9,87510,0.7,81
2019-12-13 08:40:00,28.8,4,73,16.1,91679,1.4,90
2019-12-06 00:53:00,19.5,5,228,6.5,80606,0.3,79
2019-12-11 20:48:00,25.4,12,134,15.5,84611,1.8,88
2019-12-09 23:24:00,28.4,19,55,15.6,85183,4,82
2019-12-05 04:22:00,25.6,50,45,9.2,96301,3.4,73
2019-12-01 03:08:00,24,17,350,2.9,90111,4.5,68
2019-11-30 21:51:00,25.8,51,280,15.1,83128,0.6,89
2019-12-08 13:11:00,22.3,66,120,12.1,81100,1.3,97
2019-12-04 04:01:00,21.2,62,353,6.7,103324,1.6,85
2019-12-09 17:38:00,22.2,48,128,10.9,85059,1.1,89
2019-12-11 17:22:00,29.1,55,239,6.3,82706,4,71
2019-12-11 20:13:00,26.3,8,15,10.5,86489,2.2,84
2019-12-12 09:33:00,29.1,64,44,4.4,91886,1.9,73
2019-12-02 10:56:00,23.3,47,331,18.3,103763,1.5,82
2019-12-04 02:00:00,18.6,11,289,10.3,107233,0.9,96
2019-12-13 10:39:00,21.8,57,141,12.8,89091,1.3,92
2019-12-03 10:25:00,24.1,51,229,14,110857,0.7,87
2019-12-10 04:13:00,24.1,21,170,12.4,84845,3.4,80
2019-11-30 16:50:00,29.3,1,296,11.8,92025,1.2,95
2019-12-11 00:50:00,23.6,29,172,7.5,90666,1,82
2019-11-29 09:05:00,28.1,57,340,0.3,91387,1.3,70
2019-12-07 20:52:00,18.3,44,39,13.7,80185,4.3,85
2019-12-10 07:22:00,29.2,24,8,7.2,90627,3.7,73
2019-12-03 18:58:00,28.6,25,20,7.3,109169,2.9,92
2019-12-06 11:13:00,29.3,55,320,7.8,80192,0.9,80
2019-12-02 15:11:00,21.1,51,308,14.2,107035,1.1,81
2019-12-07 23:19:00,27.5,35,38,16.5,83534,3.6,81
2019-11-29 18:36:00,21.7,29,168,19.7,95382,0.8,89
2019-12-12 23:35:00,18.2,13,78,3.2,88224,0.4,69
2019-12-04 03:15:00,18.1,55,335,5.4,107475,3.8,77
2019-12-10 00:42:00,23.1,37,327,12,87661,3.2,90
2019-12-07 04:04:00,28.5,21,267,6.6,81254,0,75
2019-12-11 04:41:00,22.6,23,129,9.5,85894,0.6,74
2019-12-09 12:20:00,29,61,18,6.8,82441,2.1,76
2019-12-05 18:01:00,28,61,282,9.8,84794,1.3,77
2019-11-30 11:43:00,28.5,20,317,4.2,92518,4.9,76
2019-12-04 14:50:00,28.3,27,296,4.8,99121,4.7,79
2019-12-04 01:37:00,18,40,208,11.4,106635,0.2,83
2019-12-02 21:57:00,24.1,14,91,3.2,114752,2.6,76
2019-12-09 12:58:00,22.3,41,91,18.4,82373,1.3,80
2019-12-13 16:48:00,29.4,19,92,11.8,93246,1.2,87
2019-12-02 21:07:00,27.6,18,53,3.2,111523,3.5,69
2019-12-02 13:55:00,28.4,69,19,3.6,104305,4.9,75
2019-12-04 15:37:00,20.1,32,120,12.8,95470,0.9,88
2019-12-04 17:49:00,28.7,0,200,14.7,92440,1,81
2019-12-04 10:36:00,20.8,50,157,14.1,96850,1.3,91
2019-12-02 00:58:00,24.5,24,188,16.8,93934,3.1,84
2019-12-03 12:21:00,21,33,32,17.8,111789,1.1,97
2019-12-04 21:49:00,21.5,43,143,2.9,91285,3.4,71
2019-12-11 21:35:00,25.3,8,242,7.4,82786,0.4,73
2019-12-03 19:18:00,21.7,4,55,4.3,112066,1.3,79
2019-12-04 05:00:00,28.1,31,60,3.1,102605,1.9,67
2019-11-30 21:42:00,20.5,54,193,12.1,83522,0.8,98
2019-12-05 20:36:00,25.7,21,117,10.2,80925,3.6,85
2019-12-12 19:15:00,23.5,40,108,18.9,90744,2.3,89
2019-12-10 21:18:00,25.4,54,166,3.9,88342,3.2,74
2019-12-04 13:32:00,26.5,50,23,11.8,99296,1,80
2019-12-09 21:49:00,19.7,26,354,12.5,85547,4.7,94
2019-12-09 18:15:00,28.1,7,28,8.2,86489,0.9,82
2019-12-10 09:13:00,21,44,241,10.8,90754,1.3,80
2019-12-13 14:58:00,29.4,4,321,13.3,93403,0.9,86
2019-12-07 16:37:00,20.4,48,151,13.6,86290,0.8,81
2019-12-02 05:00:00,23.5,20,318,5.2,102895,4.8,74
2019-12-11 04:34:00,23.2,13,234,7.3,85676,1.7,70
2019-12-01 09:56:00,28.1,13,136,4.9,92324,1.6,63
2019-12-01 01:13:00,25.9,10,238,12.7,88372,0.8,98
2019-12-12 22:39:00,24.7,13,144,2,87655,0.3,70
2019-12-11 03:06:00,25.4,45,91,6.1,88107,2,71
2019-12-11 12:38:00,28.7,20,111,3.4,80358,4.8,74
2019-12-12 15:13:00,22.6,33,62,18.6,90759,1.4,95
2019-12-13 04:26:00,28.6,16,321,18.7,91207,3.1,85
2019-12-13 02:21:00,27.7,36,241,13.2,84998,1.6,90
2019-12-02 07:54:00,28.6,24,92,6.1,96764,1.1,70
2019-12-11 00:18:00,18.4,49,2,3.1,93717,4.9,69
2019-11-30 12:46:00,28.2,57,359,3.8,95848,3.6,76
2019-12-09 17:09:00,28.4,38,283,9.2,87185,1.3,93
2019-12-11 04:09:00,21.8,0,79,16.1,84446,4.9,80
2019-12-05 21:51:00,26.9,53,275,3.5,83080,1.5,76
2019-12-12 23:42:00,23.4,28,166,2.8,88669,3.8,53
2019-12-08 00:37:00,24.4,60,93,3.9,80663,1.3,75
2019-12-02 19:27:00,22.7,8,297,14.7,111651,4.5,87
2019-12-03 20:08:00,29.1,53,115,8.2,107968,3.6,93
