Date Time,Temperature,WindSpeed,WindDirection,Rain,Pressure,Luminosity,Humidity
01.01.2009 00:10:00,7.98,175,152.3,3.12,99652,3.33,93.3
01.01.2009 00:20:00,7.59,150,136.1,3.03,99657,3.23,93.4
01.01.2009 00:30:00,7.49,63,171.6,3.02,99653,3.21,93.9
01.01.2009 00:40:00,7.69,50,198,3.08,99651,3.26,94.2
01.01.2009 00:50:00,7.73,63,214.3,3.09,99651,3.27,94.1
01.01.2009 01:00:00,7.95,63,192.7,3.15,99650,3.33,94.4
01.01.2009 01:10:00,8.38,63,166.5,3.27,99650,3.44,94.8
01.01.2009 01:20:00,8.38,50,118.6,3.26,99650,3.44,94.4
01.01.2009 01:30:00,8.09,75,188.5,3.16,99650,3.36,93.8
01.01.2009 01:40:00,7.57,88,185,3.02,99653,3.23,93.1
01.01.2009 01:50:00,7.24,88,183.2,2.94,99662,3.14,93.1
01.01.2009 02:00:00,7.12,63,190.3,2.91,99662,3.12,93.2
01.01.2009 02:10:00,7.15,50,158.3,2.93,99663,3.12,93.5
01.01.2009 02:20:00,7.17,63,184.8,2.93,99674,3.13,93.5
01.01.2009 02:30:00,7.34,75,155.9,2.99,99681,3.17,93.9
01.01.2009 02:40:00,7.34,50,272.4,2.98,99681,3.17,93.6
01.01.2009 02:50:00,7.3,63,219.2,2.96,99686,3.16,93.5
01.01.2009 03:00:00,7.19,63,167.2,2.94,99684,3.13,93.5
01.01.2009 03:10:00,7.16,25,129.3,2.93,99687,3.13,93.5
01.01.2009 03:20:00,7.06,63,115.3,2.9,99697,3.1,93.3
01.01.2009 03:30:00,7.06,75,149.3,2.9,99708,3.1,93.4
01.01.2009 03:40:00,7.14,75,149.7,2.91,99710,3.12,93.1
01.01.2009 03:50:00,7.01,63,231.7,2.86,99706,3.09,92.4
01.01.2009 04:00:00,6.95,38,240,2.85,99699,3.07,92.6
01.01.2009 04:10:00,6.77,38,203.9,2.8,99705,3.03,92.2
01.01.2009 04:20:00,6.51,75,159.7,2.74,99711,2.97,92
01.01.2009 04:30:00,6.5,88,66.16,2.75,99719,2.97,92.3
01.01.2009 04:40:00,6.65,88,105,2.79,99724,3,92.8
01.01.2009 04:50:00,6.53,75,125.8,2.75,99737,2.97,92.4
01.01.2009 05:00:00,6.37,88,157,2.71,99746,2.94,92.2
01.01.2009 05:10:00,6.33,75,132.5,2.72,99743,2.93,92.6
01.01.2009 05:20:00,6.32,50,143.2,2.7,99742,2.92,92
01.01.2009 05:30:00,6.1,100,72.5,2.64,99753,2.87,91.7
01.01.2009 05:40:00,6.09,100,60.72,2.66,99760,2.87,92.4
01.01.2009 05:50:00,6.49,75,147.4,2.77,99762,2.96,93.4
01.01.2009 06:00:00,6.33,50,146,2.72,99771,2.93,92.7
01.01.2009 06:10:00,6.41,75,161.6,2.75,99781,2.95,93.2
01.01.2009 06:20:00,6.85,50,125.7,2.85,99786,3.05,93.3
01.01.2009 06:30:00,7.09,88,67.11,2.88,99800,3.11,92.5
01.01.2009 06:40:00,6.96,275,14,2.83,99814,3.08,91.9
01.01.2009 06:50:00,6.57,363,357,2.73,99821,2.98,91.3
01.01.2009 07:00:00,6.83,288,348.8,2.83,99833,3.04,92.9
01.01.2009 07:10:00,7.29,275,338.1,2.94,99850,3.16,93
01.01.2009 07:20:00,7.45,238,357.9,2.98,99859,3.2,93
01.01.2009 07:30:00,7.6,138,340.1,3.02,99879,3.24,93.1
01.01.2009 07:40:00,7.7,113,321.1,3.04,99886,3.26,93.1
01.01.2009 07:50:00,7.87,113,254.2,3.08,99904,3.3,93.2
01.01.2009 08:00:00,7.9,125,213.9,3.08,99917,3.31,92.8
01.01.2009 08:10:00,7.86,100,241.4,3.06,99927,3.3,92.6
01.01.2009 08:20:00,7.94,88,242.5,3.08,99933,3.32,92.7
01.01.2009 08:30:00,8.05,88,352.7,3.1,99944,3.35,92.6
01.01.2009 08:40:00,8.26,75,100.2,3.17,99946,3.41,93
01.01.2009 08:50:00,8.43,50,166.7,3.18,99959,3.45,92
01.01.2009 09:00:00,8.34,63,202.2,3.13,99969,3.43,91.2
01.01.2009 09:10:00,8.29,50,235,3.12,99979,3.41,91.3
01.01.2009 09:20:00,8.44,38,310.5,3.17,99981,3.45,91.7
01.01.2009 09:30:00,8.71,250,17.3,3.25,99983,3.53,92.2
01.01.2009 09:40:00,8.85,275,4.63,3.28,99996,3.57,92.1
01.01.2009 09:50:00,8.98,313,314.3,3.32,100013,3.6,92.2
01.01.2009 10:00:00,8.96,300,292.6,3.29,100027,3.6,91.6
01.01.2009 10:10:00,8.97,275,266.3,3.3,100043,3.6,91.6
01.01.2009 10:20:00,8.85,325,267.2,3.25,100054,3.57,91.1
01.01.2009 10:30:00,8.74,325,258.8,3.22,100068,3.54,91
01.01.2009 10:40:00,8.66,300,257,3.19,100078,3.51,90.8
01.01.2009 10:50:00,8.65,325,260.5,3.19,100083,3.51,90.9
01.01.2009 11:00:00,8.59,338,269.6,3.17,100087,3.5,90.7
01.01.2009 11:10:00,8.52,325,247.1,3.14,100081,3.48,90.5
01.01.2009 11:20:00,8.62,213,230.6,3.17,100074,3.5,90.6
01.01.2009 11:30:00,8.79,225,208.2,3.2,100061,3.55,90.2
01.01.2009 11:40:00,8.84,188,198.9,3.2,100050,3.56,89.8
01.01.2009 11:50:00,8.97,300,207.5,3.22,100036,3.6,89.6
01.01.2009 12:00:00,9.13,263,184.4,3.26,100030,3.64,89.6
01.01.2009 12:10:00,9.23,288,202.8,3.29,100021,3.67,89.5
01.01.2009 12:20:00,9.3,313,222.7,3.32,100018,3.69,89.8
01.01.2009 12:30:00,9.39,338,237.6,3.34,100014,3.72,89.7
01.01.2009 12:40:00,9.49,263,197.9,3.36,100002,3.75,89.5
01.01.2009 12:50:00,9.79,100,202.6,3.43,100002,3.84,89.4
01.01.2009 13:00:00,10.11,125,187.3,3.48,100003,3.93,88.6
01.01.2009 13:10:00,10.17,138,160.9,3.47,99997,3.95,87.8
01.01.2009 13:20:00,10.24,163,180.1,3.48,99997,3.97,87.7
01.01.2009 13:30:00,10.1,200,138.1,3.44,100002,3.93,87.5
01.01.2009 13:40:00,10.03,188,161.4,3.46,99989,3.91,88.5
01.01.2009 13:50:00,10.12,200,146,3.49,99981,3.94,88.6
01.01.2009 14:00:00,10.06,200,144,3.49,99981,3.92,89.1
01.01.2009 14:10:00,10.16,213,151,3.54,99981,3.95,89.6
01.01.2009 14:20:00,10.24,188,157,3.56,99980,3.97,89.8
01.01.2009 14:30:00,10.25,200,145.1,3.57,99981,3.97,89.8
01.01.2009 14:40:00,10.24,225,137.7,3.58,99982,3.97,90.2
01.01.2009 14:50:00,10.27,238,142.4,3.59,99983,3.98,90.3
01.01.2009 15:00:00,10.31,188,134.9,3.61,99988,3.99,90.4
01.01.2009 15:10:00,10.47,175,148.6,3.64,99998,4.04,90.2
01.01.2009 15:20:00,10.43,200,146.1,3.62,100006,4.03,89.8
01.01.2009 15:30:00,10.57,125,155.1,3.66,100004,4.07,90
01.01.2009 15:40:00,10.68,150,137.5,3.68,100000,4.11,89.5
01.01.2009 15:50:00,10.64,225,151.9,3.65,99995,4.09,89.2
01.01.2009 16:00:00,10.6,213,145.5,3.65,99994,4.08,89.4
01.01.2009 16:10:00,10.69,150,127,3.69,100005,4.11,89.9
01.01.2009 16:20:00,10.72,188,134.7,3.7,100005,4.12,89.8
01.01.2009 16:30:00,10.68,213,132.3,3.67,100010,4.11,89.5
01.01.2009 16:40:00,10.71,175,140.8,3.69,100017,4.12,89.7
01.01.2009 16:50:00,10.67,150,160,3.66,100013,4.1,89.2
01.01.2009 17:00:00,10.63,163,142.2,3.66,100017,4.09,89.4
01.01.2009 17:10:00,10.57,188,144,3.64,100017,4.07,89.3
01.01.2009 17:20:00,10.72,113,162.6,3.7,100018,4.12,89.8
01.01.2009 17:30:00,10.79,138,147.2,3.69,100018,4.14,89.2
01.01.2009 17:40:00,10.79,125,182.2,3.68,100017,4.14,88.9
01.01.2009 17:50:00,10.76,125,150.4,3.67,100016,4.13,88.9
01.01.2009 18:00:00,10.75,100,183.7,3.68,100016,4.13,89.1
01.01.2009 18:10:00,10.84,100,186.9,3.7,100013,4.16,89.1
01.01.2009 18:20:00,10.88,88,179.3,3.72,100007,4.17,89.1
01.01.2009 18:30:00,10.96,88,152.3,3.73,100011,4.2,88.9
01.01.2009 18:40:00,10.99,100,153.2,3.73,100018,4.2,88.7
01.01.2009 18:50:00,10.88,138,148.8,3.7,100023,4.17,88.7
01.01.2009 19:00:00,10.89,75,176.7,3.73,100022,4.17,89.4
01.01.2009 19:10:00,11.1,88,158.1,3.79,100030,4.24,89.4
01.01.2009 19:20:00,11.14,63,131.4,3.78,100019,4.25,88.9
01.01.2009 19:30:00,11.1,88,149.7,3.76,100018,4.24,88.7
01.01.2009 19:40:00,11.03,100,158.7,3.74,100014,4.22,88.7
01.01.2009 19:50:00,11.01,88,158.4,3.75,100018,4.21,89
01.01.2009 20:00:00,11.1,113,195.2,3.78,100022,4.24,89.3
01.01.2009 20:10:00,11.07,113,206.5,3.78,100027,4.23,89.5
01.01.2009 20:20:00,11.11,100,169.9,3.81,100021,4.24,89.8
01.01.2009 20:30:00,11.07,150,156.2,3.8,100019,4.23,89.9
01.01.2009 20:40:00,11,163,144.8,3.8,100024,4.21,90.2
01.01.2009 20:50:00,11.1,75,146.6,3.84,100030,4.24,90.6
01.01.2009 21:00:00,11.2,75,206.3,3.85,100019,4.27,90.2
01.01.2009 21:10:00,11.16,113,168.5,3.83,100019,4.26,90
01.01.2009 21:20:00,11.1,100,195.8,3.82,100015,4.24,90.2
01.01.2009 21:30:00,11.14,75,212.1,3.84,100009,4.25,90.4
01.01.2009 21:40:00,11.24,75,269.1,3.88,100006,4.29,90.5
01.01.2009 21:50:00,11.39,75,219.7,3.93,100003,4.34,90.6
01.01.2009 22:00:00,11.5,63,175.7,3.95,100000,4.37,90.4
01.01.2009 22:10:00,11.59,50,170.1,3.98,99992,4.4,90.4
01.01.2009 22:20:00,11.6,75,146.9,3.97,99993,4.4,90.1
01.01.2009 22:30:00,11.68,50,172.8,3.99,99987,4.43,90
01.01.2009 22:40:00,11.83,63,198.4,4.02,99980,4.48,89.7
01.01.2009 22:50:00,11.7,75,210.8,3.96,99977,4.44,89.3
01.01.2009 23:00:00,11.53,100,219.3,3.95,99977,4.38,90.1
01.01.2009 23:10:00,11.5,88,149.6,3.99,99980,4.37,91.2
01.01.2009 23:20:00,11.49,88,198.6,4.01,99981,4.37,91.7
01.01.2009 23:30:00,11.67,63,132.7,4.09,99980,4.43,92.5
01.01.2009 23:40:00,11.67,113,206.4,4.07,99971,4.43,92
01.01.2009 23:50:00,11.42,125,213.9,4.02,99967,4.34,92.4
02.01.2009 00:00:00,11.46,88,155,4.06,99959,4.36,93.2
02.01.2009 00:10:00,11.4,138,151.2,4.04,99955,4.34,93.2
02.01.2009 00:20:00,11.33,150,148.8,4.05,99956,4.32,93.7
02.01.2009 00:30:00,11.34,138,154.3,4.06,99956,4.32,94.1
02.01.2009 00:40:00,11.45,125,159.3,4.11,99948,4.35,94.4
02.01.2009 00:50:00,11.57,113,192.1,4.15,99944,4.39,94.4
02.01.2009 01:00:00,11.56,100,148.1,4.15,99934,4.39,94.4
02.01.2009 01:10:00,11.61,125,153.5,4.17,99931,4.41,94.5
02.01.2009 01:20:00,11.6,88,146.2,4.16,99921,4.4,94.4
02.01.2009 01:30:00,11.6,63,165.1,4.17,99918,4.4,94.6
02.01.2009 01:40:00,11.69,75,185,4.2,99908,4.43,94.7
02.01.2009 01:50:00,11.74,75,223.1,4.21,99900,4.45,94.6
02.01.2009 02:00:00,11.71,88,209.8,4.2,99893,4.44,94.5
02.01.2009 02:10:00,11.74,75,182.3,4.22,99893,4.45,94.6
02.01.2009 02:20:00,11.73,75,148.5,4.2,99882,4.45,94.4
02.01.2009 02:30:00,11.7,75,223.6,4.2,99882,4.44,94.5
02.01.2009 02:40:00,11.68,113,176.3,4.2,99878,4.43,94.6
02.01.2009 02:50:00,11.61,75,194,4.18,99873,4.41,94.6
02.01.2009 03:00:00,11.55,100,203.3,4.16,99869,4.39,94.8
02.01.2009 03:10:00,11.5,100,177.5,4.16,99867,4.37,95
02.01.2009 03:20:00,11.52,88,179.3,4.17,99858,4.38,95.2
02.01.2009 03:30:00,11.57,100,212.2,4.19,99849,4.39,95.3
02.01.2009 03:40:00,11.67,88,160.7,4.23,99844,4.43,95.5
02.01.2009 03:50:00,11.59,150,167.6,4.19,99839,4.4,95.1
02.01.2009 04:00:00,11.42,138,190.2,4.14,99832,4.34,95.2
02.01.2009 04:10:00,11.37,125,190.8,4.14,99829,4.33,95.4
02.01.2009 04:20:00,11.37,125,222,4.14,99812,4.33,95.5
02.01.2009 04:30:00,11.26,150,223.2,4.11,99795,4.29,95.6
02.01.2009 04:40:00,11.14,100,113.5,4.08,99803,4.25,95.7
02.01.2009 04:50:00,11.03,113,107.1,4.05,99808,4.22,95.9
02.01.2009 05:00:00,11.04,125,22.22,4.06,99810,4.22,96
02.01.2009 05:10:00,11.06,163,344.2,4.06,99821,4.23,96
02.01.2009 05:20:00,11.22,150,358.8,4.13,99821,4.28,96.3
02.01.2009 05:30:00,11.37,100,30.37,4.17,99813,4.33,96.2
02.01.2009 05:40:00,11.36,88,166.5,4.16,99802,4.32,95.9
02.01.2009 05:50:00,11.33,113,312.7,4.15,99793,4.31,96
02.01.2009 06:00:00,11.57,213,40.88,4.23,99800,4.39,96.2
02.01.2009 06:10:00,11.62,163,52.73,4.24,99811,4.41,95.9
02.01.2009 06:20:00,11.68,138,38,4.26,99815,4.43,95.9
02.01.2009 06:30:00,11.75,75,59.41,4.28,99821,4.46,95.8
02.01.2009 06:40:00,11.84,200,52.7,4.3,99822,4.48,95.6
02.01.2009 06:50:00,11.74,175,26.64,4.25,99819,4.45,95.4
02.01.2009 07:00:00,11.72,113,156.4,4.25,99817,4.44,95.5
02.01.2009 07:10:00,11.66,63,202.6,4.22,99819,4.42,95.3
02.01.2009 07:20:00,11.63,63,216.9,4.21,99820,4.42,95.2
02.01.2009 07:30:00,11.67,175,197.7,4.22,99822,4.43,95.2
02.01.2009 07:40:00,11.57,238,190.7,4.19,99817,4.39,95.1
02.01.2009 07:50:00,11.61,238,168,4.2,99818,4.41,95.1
02.01.2009 08:00:00,11.67,238,178.7,4.2,99818,4.43,94.8
02.01.2009 08:10:00,11.63,238,176.8,4.19,99811,4.41,94.7
02.01.2009 08:20:00,11.69,225,174.7,4.21,99810,4.43,94.7
02.01.2009 08:30:00,11.7,263,174.8,4.2,99815,4.44,94.4
02.01.2009 08:40:00,11.76,200,173.9,4.22,99829,4.46,94.4
02.01.2009 08:50:00,11.83,250,176.2,4.23,99834,4.48,94.1
02.01.2009 09:00:00,11.87,188,184.5,4.22,99835,4.49,93.8
02.01.2009 09:10:00,11.93,163,176,4.24,99839,4.52,93.7
02.01.2009 09:20:00,12.05,200,169.9,4.26,99846,4.56,93.3
02.01.2009 09:30:00,12.1,188,180.8,4.27,99853,4.57,93.1
02.01.2009 09:40:00,12.1,188,188.8,4.25,99859,4.57,92.7
02.01.2009 09:50:00,12.08,175,167.9,4.23,99858,4.57,92.6
02.01.2009 10:00:00,12.07,225,141.7,4.22,99865,4.56,92.3
02.01.2009 10:10:00,12.03,225,140.5,4.21,99878,4.55,92.5
02.01.2009 10:20:00,12.07,200,143.1,4.23,99883,4.56,92.7
02.01.2009 10:30:00,12.1,238,139.7,4.24,99884,4.57,92.6
02.01.2009 10:40:00,12.13,225,140.6,4.25,99887,4.59,92.6
02.01.2009 10:50:00,12.26,188,137.7,4.29,99892,4.63,92.5
02.01.2009 11:00:00,12.38,163,141.5,4.32,99898,4.67,92.3
02.01.2009 11:10:00,12.51,250,152.9,4.34,99888,4.72,91.9
02.01.2009 11:20:00,12.64,275,182.5,4.37,99879,4.76,91.7
02.01.2009 11:30:00,12.79,188,170.6,4.4,99888,4.82,91.2
02.01.2009 11:40:00,12.83,238,151.3,4.39,99888,4.83,90.8
02.01.2009 11:50:00,12.98,200,142.4,4.43,99894,4.89,90.6
02.01.2009 12:00:00,12.88,200,127,4.38,99891,4.85,90.1
02.01.2009 12:10:00,12.93,213,126.4,4.41,99885,4.87,90.5
02.01.2009 12:20:00,13.1,150,160.7,4.43,99882,4.93,89.8
02.01.2009 12:30:00,13.19,150,144.3,4.42,99878,4.96,89
02.01.2009 12:40:00,13.2,163,181.4,4.41,99864,4.97,88.7
02.01.2009 12:50:00,13.36,138,141.6,4.46,99861,5.03,88.5
02.01.2009 13:00:00,13.47,150,129.4,4.47,99859,5.07,88
