Date Time,Temperature,WindSpeed,WindDirection,Rain,Pressure,Luminosity,Humidity
29/11/2019 08:10,29.2,9,2,3.12,90470,3.33,56
29/11/2019 08:11,28.5,4,280,3.03,90905,3.23,77
29/11/2019 08:12,28.9,5,220,3.02,90767,3.21,75
29/11/2019 08:13,28.1,2,56,3.08,90683,3.26,79
29/11/2019 08:14,28.9,3,231,3.09,90646,3.27,72
29/11/2019 08:15,29,8,354,3.15,90404,3.33,71
29/11/2019 08:16,28,13,350,3.27,90781,3.44,73
29/11/2019 08:17,29,7,89,3.26,90702,3.44,77
29/11/2019 08:18,29.3,2,306,3.16,90255,3.36,70
29/11/2019 08:19,28.1,7,74,3.02,90517,3.23,75
29/11/2019 08:20,28.9,7,64,2.94,90564,3.14,78
29/11/2019 08:21,29.5,14,320,2.91,90376,3.12,72
29/11/2019 08:22,29.5,9,331,2.93,90259,3.12,77
29/11/2019 08:23,29.8,7,164,2.93,90372,3.13,80
29/11/2019 08:24,29.9,6,24,2.99,90374,3.17,77
29/11/2019 08:25,29.9,1,129,2.98,90028,3.17,84
29/11/2019 08:26,28.4,3,94,2.96,89857,3.16,88
29/11/2019 08:27,28.5,7,354,2.94,90144,3.13,75
29/11/2019 08:28,28.6,3,130,2.93,90502,3.13,70
29/11/2019 08:29,29.9,4,182,2.9,90618,3.1,71
29/11/2019 08:30,28.4,11,261,2.9,90710,3.1,76
29/11/2019 08:31,28.8,20,247,2.91,91064,3.12,78
29/11/2019 08:32,29.8,24,19,2.86,90880,3.09,77
29/11/2019 08:33,29.7,18,216,2.85,91238,3.07,72
29/11/2019 08:34,28.2,26,31,2.8,91710,3.03,76
29/11/2019 08:35,29.3,17,166,2.74,91374,2.97,76
29/11/2019 08:36,28.5,12,140,2.75,90997,2.97,67
29/11/2019 08:37,29.2,10,234,2.79,90908,3,57
29/11/2019 08:38,29.4,15,27,2.75,91258,2.97,54
29/11/2019 08:39,28.8,23,111,2.71,91386,2.94,76
29/11/2019 08:40,29.4,25,329,2.72,91630,2.93,72
29/11/2019 08:41,29.6,33,300,2.7,91149,2.92,68
29/11/2019 08:42,28.1,36,42,2.64,91409,2.87,71
29/11/2019 08:43,28.6,26,231,2.66,91900,2.87,73
29/11/2019 08:44,29.4,29,57,2.77,91498,2.96,65
29/11/2019 08:45,28.4,28,246,2.72,91632,2.93,63
